Raid Report,Street Address,City ,State
"Report-5579: Dec. 30 McCormick Rd, Evanston, IL 60201","McCormick Rd, Evanston, IL 60201",,
"Report-5573: Dec. 29 S Woodlawn Ave & E 54th St Chicago, IL 60615","S Woodlawn Ave & E 54th St Chicago, IL 60615",,
"Report-5574: Dec. 29 235 E North Ave., Glendale Heights, IL 60139","235 E North Ave., Glendale Heights, IL 60139",,
Report-5572: Dec. 29 W 23rd St & S Marshall Blvd,W 23rd St & S Marshall Blvd,,
"Report-5571: Dec. 29 3322 W 47th St, Chicago, IL 60632","3322 W 47th St, Chicago, IL 60632",,
Report-5575: Dec. 29 Belmont & Lavergne,Belmont & Lavergne,,
"Report-5587: Dec. 28 1600 S Cicero Ave, Cicero, IL 60804","1600 S Cicero Ave, Cicero, IL 60804",,
"Report-5585: Dec. 28 W Roscoe St & N Hamlin Ave, Chicago Il 60618","W Roscoe St & N Hamlin Ave, Chicago Il 60618",,
Report-5588: Dec. 28 ,,,
"Report-5578: Dec. 27 Kenmore and Catalpa, Chicago, IL 6040","Kenmore and Catalpa, Chicago, IL 6040",,
"Report-5577: Dec. 27 2803 S Cicero Ave, Cicero, IL 60804","2803 S Cicero Ave, Cicero, IL 60804",,
"Report-5576: Dec. 25 1930 Beach St, Broadview, IL 60155","1930 Beach St, Broadview, IL 60155",,
Report-5569: Dec. 24 111th and Kedzie,111th and Kedzie,,
"Report-5554: Dec. 24 1211 Chicago Ave, Evanston, Illinois 60202 ","1211 Chicago Ave, Evanston, Illinois 60202 ",,
Report-5570: Dec. 24  Cermak / 13th in Cicero, Cermak / 13th in Cicero,,
"Report-5553: Dec. 24 Custer Ave, between Oakton and Case","Custer Ave, between Oakton and Case",,
"Report-5548: Dec. 23 801 S Loomis St, Chicago, IL 60607","801 S Loomis St, Chicago, IL 60607",,
"Report-5549: Dec. 23 2555 N Pulaski Rd, Chicago, IL 60639","2555 N Pulaski Rd, Chicago, IL 60639",,
"Report-5551: Dec. 23 5905 N 2nd St, Loves Park, IL 61111","5905 N 2nd St, Loves Park, IL 61111",,
"Report-5550: Dec. 23 5309 S Maplewood Ave, Chicago, IL 60632","5309 S Maplewood Ave, Chicago, IL 60632",,
"Report-5552: Dec. 23 131 N Clinton St, Chicago, IL 60661","131 N Clinton St, Chicago, IL 60661",,
Report-5505: Dec. 22 778 Fulton st Aurora,778 Fulton st Aurora,,
Report-5507: Dec. 22 2216 Main Street Evanston IL,2216 Main Street Evanston IL,,
"Report-5506: Dec. 22 Humboldt Park, Chicago","Humboldt Park, Chicago",,
"Report-5508: Dec. 22 4049 West Potomac, Chicago","4049 West Potomac, Chicago",,
"Report-5510: Dec. 22 2442 Poplar Ave, Evanston, ","2442 Poplar Ave, Evanston, ",,
Report-5511: Dec. 22 600 Maple Ave. Wilmette,600 Maple Ave. Wilmette,,
"Report-5512: Dec. 22 Cermak and Loomis, PIlsen","Cermak and Loomis, PIlsen",,
Report-5514: Dec. 22 ,,,
Report-5515: Dec. 22 55 and Kolmar,55 and Kolmar,,
Report-5513: Dec. 22 Corner of Prospect Ave and Hawley,Corner of Prospect Ave and Hawley,,
Report-5517: Dec. 22 295 E. Army Trail Rd.,295 E. Army Trail Rd.,,
Report-5521: Dec. 22 3421 W Armitage,3421 W Armitage,,
Report-5518: Dec. 22 Euclid and Adams,Euclid and Adams,,
Report-5523: Dec. 22 Damen and 21st,Damen and 21st,,
Report-5516: Dec. 22  3408 W Armitage Ave., 3408 W Armitage Ave.,,
Report-5522: Dec. 22 Armitage and Kimball,Armitage and Kimball,,
Report-5519: Dec. 22 kimball and armitage,kimball and armitage,,
Report-5524: Dec. 22 ,,,
Report-5520: Dec. 22 Armitage and St Louis,Armitage and St Louis,,
Report-5526: Dec. 22 Piper Lane,Piper Lane,,
Report-5525: Dec. 22  67th and Mozart, 67th and Mozart,,
Report-5530: Dec. 20 ,,,
"Report-5529: Dec. 20 3111 S Lawndale Ave, Chicago, IL 60623","3111 S Lawndale Ave, Chicago, IL 60623",,
"Report-5528: Dec. 20 6322 W 26th St, Berwyn, IL 60402","6322 W 26th St, Berwyn, IL 60402",,
"Report-5566: Dec. 20 1020 Plant Rd, Wheeling, IL 60090","1020 Plant Rd, Wheeling, IL 60090",,
Report-5494: Dec. 20 604 N. Milwaukee Avenue / Piper Lane,604 N. Milwaukee Avenue / Piper Lane,,
"Report-5527: Dec. 20 431 N Neltnor Blvd, West Chicago, IL 60185","431 N Neltnor Blvd, West Chicago, IL 60185",,
"Report-5568: Dec. 19 3420 W 63rd St
Chicago, IL  60629","3420 W 63rd St
Chicago, IL  60629",,
Report-5460: Dec. 19 Touhy Ave & Osceola Ave,Touhy Ave & Osceola Ave,,
Report-5459: Dec. 19 Cermark towards Orchard Road,Cermark towards Orchard Road,,
"Report-5458: Dec. 19 W 35th St & Ashland Ave, Chicago, IL 60609, USA","W 35th St & Ashland Ave, Chicago, IL 60609, USA",,
"Report-5413: Dec. 19 Best Buy, 615 E Palatine Rd","Best Buy, 615 E Palatine Rd",,
"Report-5425: Dec. 19 615 E Palatine Rd, Arlington Heights, IL 60004 - Parking Lot","615 E Palatine Rd, Arlington Heights, IL 60004 - Parking Lot",,
"Report-5462: Dec. 19 18158 Ravisloe Teff, Country Club Hills, IL, 60478","18158 Ravisloe Teff, Country Club Hills, IL, 60478",,
"Report-5463: Dec. 19 55 E Monroe St suite 1500, Chicago, IL 60603, United States","55 E Monroe St suite 1500, Chicago, IL 60603, United States",,
"Report-5461: Dec. 19 2700 International Dr, West Chicago, IL 60185, United States","2700 International Dr, West Chicago, IL 60185, United States",,
Report-5564: Dec. 19 55th & California 60632,55th & California 60632,,
Report-5565: Dec. 19 56th and California,56th and California,,
"Report-5563: Dec. 19 Mount Prospect off Algonquin Road Des Plaines, IL 60018","Mount Prospect off Algonquin Road Des Plaines, IL 60018",,
"Report-5560: Dec. 19 5001 N Pulaski Rd, Chicago, IL 60630","5001 N Pulaski Rd, Chicago, IL 60630",,
Report-5561: Dec. 19 between Michigan Ave and Custer 60202,between Michigan Ave and Custer 60202,,
Report-5562: Dec. 19 Carol Stream Renaissance apartment,Carol Stream Renaissance apartment,,
"Report-5559: Dec. 19 Carol Stream Renaissance apartment 201 Flame Dr, Carol Stream, IL 60188","Carol Stream Renaissance apartment 201 Flame Dr, Carol Stream, IL 60188",,
"Report-5556: Dec. 19 4150 S Karlov Ave, Chicago, IL 60632","4150 S Karlov Ave, Chicago, IL 60632",,
Report-5414: Dec. 19 Algonquin & Dearborn Ct.   https://maps.app.goo.gl/gbjs4SgcVktnKspq8?g_st=ipc,Algonquin & Dearborn Ct.   https://maps.app.goo.gl/gbjs4SgcVktnKspq8?g_st=ipc,,
"Report-5424: Dec. 19 S Paulina St & W 49th St, Chicago, IL 60609","S Paulina St & W 49th St, Chicago, IL 60609",,
Report-5555: Dec. 19 N Albany Ave & W Rosemont Ave 60659,N Albany Ave & W Rosemont Ave 60659,,
"Report-5558: Dec. 19 Covered Bridges Apartments at 637 Burns St, Carol Stream, IL 60188","Covered Bridges Apartments at 637 Burns St, Carol Stream, IL 60188",,
Report-5557: Dec. 19 Lake Cook and Rand 60074,Lake Cook and Rand 60074,,
"Report-5488: Dec. 18 800 Shermer Rd, Glenview, IL 60025","800 Shermer Rd, Glenview, IL 60025",,
"Report-5490: Dec. 18 S Sawyer Ave & W Cermak Rd., Chicago, IL 60623","S Sawyer Ave & W Cermak Rd., Chicago, IL 60623",,
"Report-5491: Dec. 18 W Ogden Ave & S Kedzie Ave, Chicago, IL 60623","W Ogden Ave & S Kedzie Ave, Chicago, IL 60623",,
"Report-5489: Dec. 18 3255 Central St., Evanston, IL 60201","3255 Central St., Evanston, IL 60201",,
"Report-5495: Dec. 18 7159 82nd St, Bridgeview, IL 60455","7159 82nd St, Bridgeview, IL 60455",,
"Report-5493: Dec. 18 10000 W O'Hare Ave, Chicago, IL 60666","10000 W O'Hare Ave, Chicago, IL 60666",,
"Report-5492: Dec. 18 W Montrose Ave & N Broadway, Chicago, IL 60640","W Montrose Ave & N Broadway, Chicago, IL 60640",,
"Report-5496: Dec. 18 3700 North Lawndale Ave., Chicago IL 60618","3700 North Lawndale Ave., Chicago IL 60618",,
"Report-5497: Dec. 18 W Madison St & S Menard Ave, Chicago, IL 60644","W Madison St & S Menard Ave, Chicago, IL 60644",,
"Report-5499: Dec. 18 7800 South Kingery Highway, Willowbrook, IL, 60527","7800 South Kingery Highway, Willowbrook, IL, 60527",,
"Report-5500: Dec. 18 ""Immigration Court""","""Immigration Court""",,
"Report-5498: Dec. 18 778 Fulton St, Aurora, IL 60505","778 Fulton St, Aurora, IL 60505",,
"Report-5501: Dec. 18 N McCormick Blvd & Howard St, Skokie, IL 60076","N McCormick Blvd & Howard St, Skokie, IL 60076",,
"Report-5504: Dec. 18 N Kedzie Ave & W Devon Ave, Lincolnwood, IL 60645","N Kedzie Ave & W Devon Ave, Lincolnwood, IL 60645",,
"Report-5509: Dec. 18 1930 Beach St, Broadview, IL 60155","1930 Beach St, Broadview, IL 60155",,
Report-5502: Dec. 18 n/a,n/a,,
"Report-5503: Dec. 18 N Kedzie Ave & W Arthur Ave, Chicago, IL 60645","N Kedzie Ave & W Arthur Ave, Chicago, IL 60645",,
"Report-5531: Dec. 17 50 veterans pkwy Bolingbrook, IL 60490","50 veterans pkwy Bolingbrook, IL 60490",,
Report-5532: Dec. 17 26th and Kedzie,26th and Kedzie,,
"Report-5533: Dec. 17 813 E 4000 S Rd, Kankakee, IL 60901","813 E 4000 S Rd, Kankakee, IL 60901",,
Report-5535: Dec. 17 Augusta and Harlem,Augusta and Harlem,,
"Report-5536: Dec. 17 1000 W Chicago O’hare International Ave, Chicago, IL 60666","1000 W Chicago O’hare International Ave, Chicago, IL 60666",,
"Report-5534: Dec. 17 5530 W Homer St Chicago, IL 60639
","5530 W Homer St Chicago, IL 60639
",,
"Report-5539: Dec. 17 12810 S Commercial Ave, Chicago, Il 60633.","12810 S Commercial Ave, Chicago, Il 60633.",,
"Report-5540: Dec. 17 7900 N Milwaukee Ave, Niles, Il 60714","7900 N Milwaukee Ave, Niles, Il 60714",,
