Raid Report,Street Address,City ,State
"Report-4534: Nov. 2 ogden and dubois - Brookfield, IL 60513","ogden and dubois - Brookfield, IL 60513",,
"Report-4598: Nov. 2 5500 S Cornell Ave, Chicago, IL ","5500 S Cornell Ave, Chicago, IL ",,
Report-4599: Nov. 2 Damen and I-55,Damen and I-55,,
"Report-4506: Nov. 2 4511 S Harlem Ave, Forest View, IL 60402","4511 S Harlem Ave, Forest View, IL 60402",,
"Report-4504: Nov. 2 453 Homestead Rd, La Grange Park, IL 60526","453 Homestead Rd, La Grange Park, IL 60526",,
"Report-4600: Nov. 2 43rd & Harlem Lyons, IL 60534","43rd & Harlem Lyons, IL 60534",,
"Report-4601: Nov. 2 Raymond Ave & Sahler Ave, Brookfield, IL 60513","Raymond Ave & Sahler Ave, Brookfield, IL 60513",,
"Report-4592: Nov. 2 701 W North Ave, Melrose Park, IL ","701 W North Ave, Melrose Park, IL ",,
Report-4502: Nov. 2 Bolingbrook Il,Bolingbrook Il,,
"Report-4494: Nov. 2 507 E Woodlawn Ave, La Grange Park, IL 60526","507 E Woodlawn Ave, La Grange Park, IL 60526",,
"Report-4499: Nov. 2 1215 E 31st, La Grange Park, IL 60526","1215 E 31st, La Grange Park, IL 60526",,
"Report-4581: Nov. 2 32 Fernwood Ct, Vernon Hills, IL ","32 Fernwood Ct, Vernon Hills, IL ",,
"Report-4489: Nov. 2 4600 West Lake St
Melrose Park, Illinois 60160","4600 West Lake St
Melrose Park, Illinois 60160",,
"Report-4488: Nov. 2 1254 Winston plaza, Melrose Park","1254 Winston plaza, Melrose Park",,
"Report-4515: Nov. 2 2040 S 25th Ave, Broadview, IL 60155","2040 S 25th Ave, Broadview, IL 60155",,
"Report-4516: Nov. 2 493 S York st, Elmhurst, IL","493 S York st, Elmhurst, IL",,
Report-4513: Nov. 2 Pulaski and  87th,Pulaski and  87th,,
"Report-4490: Nov. 2 5455 N Ravenswood Ave, Chicago, IL 60640","5455 N Ravenswood Ave, Chicago, IL 60640",,
"Report-4512: Nov. 2 498 N Weber Rd, Romeoville IL 60446","498 N Weber Rd, Romeoville IL 60446",,
Report-4511: Nov. 2 ,,,
Report-4509: Nov. 2 cottage grove and 64th,cottage grove and 64th,,
"Report-4507: Nov. 2 306 S McLean Blvd, Elgin, IL 60123","306 S McLean Blvd, Elgin, IL 60123",,
"Report-4510: Nov. 2 635 Chicago Ave, Evanston, IL 60202","635 Chicago Ave, Evanston, IL 60202",,
"Report-4487: Nov. 2 4511 S Harlem Ave, Forest View, IL 60402","4511 S Harlem Ave, Forest View, IL 60402",,
Report-4508: Nov. 2 63rd and pulaski,63rd and pulaski,,
"Report-4485: Nov. 2 3436 W Wilson Ave, Chicago, IL 60625 ","3436 W Wilson Ave, Chicago, IL 60625 ",,
"Report-4514: Nov. 2 106 N 17th Ave, Melrose Park, IL 60160","106 N 17th Ave, Melrose Park, IL 60160",,
"Report-4498: Nov. 2 396 W Lake St
Addison, IL  60101","396 W Lake St
Addison, IL  60101",,
"Report-4496: Nov. 2 1101 23rd Ave, Melrose Park, IL 60160","1101 23rd Ave, Melrose Park, IL 60160",,
"Report-4493: Nov. 2 N 19th Ave & Lake St MELROSE PARK, 60160","N 19th Ave & Lake St MELROSE PARK, 60160",,
"Report-4492: Nov. 2 6101 S 75th Ave Summit, IL","6101 S 75th Ave Summit, IL",,
"Report-4486: Nov. 2 6135 S Austin Ave, Chicago, IL 60638","6135 S Austin Ave, Chicago, IL 60638",,
"Report-4596: Nov. 2 7329 W 57th Pl, Summit, IL 60501","7329 W 57th Pl, Summit, IL 60501",,
Report-4491: Nov. 2 Weber Road and I55 Romeoville,Weber Road and I55 Romeoville,,
"Report-167: Nov. 1 N Sheffield Ave & W Wrightwood Ave, Chicago, IL 60614","N Sheffield Ave & W Wrightwood Ave, Chicago, IL 60614",,
"Report-168: Nov. 1 W Harrison St & S Racine Ave, Chicago, IL 60607","W Harrison St & S Racine Ave, Chicago, IL 60607",,
"Report-169: Nov. 1 W 46th St & S Francisco Ave, Chicago, IL 60632","W 46th St & S Francisco Ave, Chicago, IL 60632",,
"Report-170: Nov. 1 224 Captain Hook Cove, Lakemoor, IL 60051","224 Captain Hook Cove, Lakemoor, IL 60051",,
"Report-171: Nov. 1 Bartlett Rd & W Lake St, Bartlett, IL 60103","Bartlett Rd & W Lake St, Bartlett, IL 60103",,
"Report-172: Nov. 1 Michigan Ave & E Delaware Pl, Chicago, IL 60611","Michigan Ave & E Delaware Pl, Chicago, IL 60611",,
"Report-173: Nov. 1 N McCormick Blvd & Golf Rd, Skokie, IL 60203","N McCormick Blvd & Golf Rd, Skokie, IL 60203",,
"Report-174: Nov. 1 4759 N Sheridan Rd, Chicago, IL 60640","4759 N Sheridan Rd, Chicago, IL 60640",,
"Report-175: Nov. 1 W 28th Pl & S Wallace St, Chicago, IL 60616","W 28th Pl & S Wallace St, Chicago, IL 60616",,
"Report-4595: Nov. 1 1930 Beach St, Broadview, IL ","1930 Beach St, Broadview, IL ",,
"Report-176: Nov. 1 3211 Holeman Ave, South Chicago Heights, IL 60411","3211 Holeman Ave, South Chicago Heights, IL 60411",,
"Report-177: Nov. 1 W Altgeld St & Central Park Ave, Chicago, IL 60647","W Altgeld St & Central Park Ave, Chicago, IL 60647",,
"Report-178: Nov. 1 5209 N Jean Baptiste Pointe du Sable Lake Shore Drive, Chicago, IL 60640","5209 N Jean Baptiste Pointe du Sable Lake Shore Drive, Chicago, IL 60640",,
"Report-179: Nov. 1 W Dundee Rd & N Elmhurst Rd, Wheeling, IL 60090","W Dundee Rd & N Elmhurst Rd, Wheeling, IL 60090",,
"Report-180: Nov. 1 Laramie and Golf, Skokie, IL 60077","Laramie and Golf, Skokie, IL 60077",,
"Report-181: Nov. 1 N Rohlwing Rd & W Rampart Rd, Addison, IL 60101","N Rohlwing Rd & W Rampart Rd, Addison, IL 60101",,
"Report-182: Nov. 1 23733 W Bluff Rd, Channahon, IL 60410","23733 W Bluff Rd, Channahon, IL 60410",,
"Report-183: Nov. 1 Walton and Augusta, Chicago, IL 60622","Walton and Augusta, Chicago, IL 60622",,
"Report-184: Nov. 1 Ridgewood Dr & Lincoln Ave W, Highland Park, IL 60035","Ridgewood Dr & Lincoln Ave W, Highland Park, IL 60035",,
"Report-185: Nov. 1 Homan & Arthington St., Chicago, IL 60624","Homan & Arthington St., Chicago, IL 60624",,
"Report-186: Nov. 1 1033 E Galena Blvd, Aurora, IL 60505","1033 E Galena Blvd, Aurora, IL 60505",,
"Report-187: Nov. 1 1045 E Galena Blvd, Aurora, IL 60505","1045 E Galena Blvd, Aurora, IL 60505",,
"Report-188: Nov. 1 Black Oak Trail and Fallen Oak Trail, Aurora, IL 60506","Black Oak Trail and Fallen Oak Trail, Aurora, IL 60506",,
"Report-189: Nov. 1 101 S River St, Aurora, IL 60506","101 S River St, Aurora, IL 60506",,
"Report-190: Nov. 1 Jay St & Raymond St, Elgin, IL 60120","Jay St & Raymond St, Elgin, IL 60120",,
Report-191: Nov. 1 ,,,
"Report-192: Nov. 1 75th St and S South Chicago Ave, Chicago, IL 60619","75th St and S South Chicago Ave, Chicago, IL 60619",,
"Report-193: Nov. 1 500 N Gary Ave, Carol Stream, IL 60188","500 N Gary Ave, Carol Stream, IL 60188",,
"Report-194: Nov. 1 Elmwood and Sullivan, Aurora, IL 60506","Elmwood and Sullivan, Aurora, IL 60506",,
"Report-195: Nov. 1 Crawford, Skokie, IL 60076","Crawford, Skokie, IL 60076",,
"Report-196: Nov. 1 Rt 59 and Rt 64, West Chicago, 60185","Rt 59 and Rt 64, West Chicago, 60185",,
"Report-197: Nov. 1 Ridge Ave & Green Bay Rd Evanston, IL 60201 ","Ridge Ave & Green Bay Rd Evanston, IL 60201 ",,
"Report-198: Nov. 1 5600 Pearl St, Rosemont, IL 60018","5600 Pearl St, Rosemont, IL 60018",,
"Report-199: Nov. 1 E New York St & Trask St, Aurora, IL 60505","E New York St & Trask St, Aurora, IL 60505",,
"Report-200: Nov. 1 32nd & Avers, Chicago, 60623","32nd & Avers, Chicago, 60623",,
"Report-201: Nov. 1 Central Park & Lawrence, Chicago, 60625","Central Park & Lawrence, Chicago, 60625",,
"Report-202: Nov. 1 4626 W Diversey Ave, Chicago, IL 60639","4626 W Diversey Ave, Chicago, IL 60639",,
"Report-203: Nov. 1 450 Iowa Ave, Aurora, IL 60506","450 Iowa Ave, Aurora, IL 60506",,
"Report-204: Nov. 1 2656 N Elston Ave, Chicago, IL 60647","2656 N Elston Ave, Chicago, IL 60647",,
"Report-205: Nov. 1 944 W Armitage Ave., Chicago, IL 60614","944 W Armitage Ave., Chicago, IL 60614",,
"Report-206: Oct. 31 5201 W Cermak Rd
Cicero, IL  60804","5201 W Cermak Rd
Cicero, IL  60804",,
"Report-207: Oct. 31 10000 W O'Hare Ave, Chicago, IL 60666","10000 W O'Hare Ave, Chicago, IL 60666",,
Report-208: Oct. 31 636 Palace street  Aurora 60505,636 Palace street  Aurora 60505,,
"Report-209: Oct. 31 314 N Pulaski Rd
Chicago, IL  60624","314 N Pulaski Rd
Chicago, IL  60624",,
"Report-210: Oct. 31 S Wentworth Ave & W Marquette Rd
Chicago, IL  60621","S Wentworth Ave & W Marquette Rd
Chicago, IL  60621",,
"Report-211: Oct. 31 Bronx Ave & Greenwood St
Skokie, IL  60077","Bronx Ave & Greenwood St
Skokie, IL  60077",,
"Report-212: Oct. 31 N Lawndale Ave & W Cullom Ave
Chicago, IL  60618","N Lawndale Ave & W Cullom Ave
Chicago, IL  60618",,
"Report-213: Oct. 31 W. Jarvis and W. Birchwood Ave, Chicago, IL 60631","W. Jarvis and W. Birchwood Ave, Chicago, IL 60631",,
"Report-4441: Oct. 31 7111 Cermak Rd
Berwyn, IL  60402","7111 Cermak Rd
Berwyn, IL  60402",,
"Report-4440: Oct. 31 3646 N Broadway St
Chicago, IL  60613","3646 N Broadway St
Chicago, IL  60613",,
"Report-4537: Oct. 31 Dodge Ave & Main St
Evanston, IL  60202","Dodge Ave & Main St
Evanston, IL  60202",,
"Report-4531: Oct. 31 7445 N Oconto Ave
Chicago, IL  60631","7445 N Oconto Ave
Chicago, IL  60631",,
"Report-4532: Oct. 31 6950 N Hiawatha Ave
Chicago, IL  60646","6950 N Hiawatha Ave
Chicago, IL  60646",,
Report-214: Oct. 31 ,,,
"Report-4443: Oct. 31 801 Civic Center Dr, Niles, IL 60714","801 Civic Center Dr, Niles, IL 60714",,
"Report-4530: Oct. 31 2211 Oakton St
Evanston, IL  60202","2211 Oakton St
Evanston, IL  60202",,
"Report-215: Oct. 31 3807 W Division St
Chicago, IL  60651","3807 W Division St
Chicago, IL  60651",,
"Report-216: Oct. 31 6950 N Hiawatha Ave
Chicago, IL  60646","6950 N Hiawatha Ave
Chicago, IL  60646",,
"Report-4446: Oct. 31 7509 N Oleander Ave
Chicago, IL  60631","7509 N Oleander Ave
Chicago, IL  60631",,
"Report-217: Oct. 31 Ma Labs Inc, 1551 Hunter Rd, Hanover Park, IL 60133","Ma Labs Inc, 1551 Hunter Rd, Hanover Park, IL 60133",,
"Report-218: Oct. 31 N Leavitt St & W Huron St
","N Leavitt St & W Huron St
",,
"Report-219: Oct. 31 1501 Central St, Evanston, IL 60208, United States","1501 Central St, Evanston, IL 60208, United States",,
"Report-220: Oct. 31 6235 Stonewall Ave, Downers Grove, IL 60516","6235 Stonewall Ave, Downers Grove, IL 60516",,
"Report-221: Oct. 31 W Touhy Ave & Harlem Ave
","W Touhy Ave & Harlem Ave
",,
"Report-222: Oct. 31 Amherst and Harvard, Des Plaines, IL","Amherst and Harvard, Des Plaines, IL",,
"Report-223: Oct. 31 440 Dodge Ave, Evanston, IL 60201","440 Dodge Ave, Evanston, IL 60201",,
Report-224: Oct. 31 Cleveland heading west crossing Dewey.,Cleveland heading west crossing Dewey.,,
"Report-225: Oct. 31 N California Ave & W Diversey Ave
","N California Ave & W Diversey Ave
",,
Report-226: Oct. 31 Milwaukee & Keeler,Milwaukee & Keeler,,
"Report-227: Oct. 31 440 Dodge Ave, Evanston, IL 60201, United States","440 Dodge Ave, Evanston, IL 60201, United States",,
"Report-228: Oct. 31 1015 maple ave, Lisle IL. ","1015 maple ave, Lisle IL. ",,
Report-4450: Oct. 31 ,,,
"Report-229: Oct. 31 8931 Major Ave, Morton Grove, IL 60053, USA","8931 Major Ave, Morton Grove, IL 60053, USA",,
"Report-230: Oct. 31 460 W Irving Park Rd Ste C, Bensenville, IL 60106, United States","460 W Irving Park Rd Ste C, Bensenville, IL 60106, United States",,
"Report-231: Oct. 31 Dempster St & Oak Ave
","Dempster St & Oak Ave
",,
Report-232: Oct. 31 Asbury Ave & Oakton St,Asbury Ave & Oakton St,,
Report-233: Oct. 31  woodridge area, woodridge area,,
"Report-4550: Oct. 31 201 East Ave
Park Ridge, IL  60068","201 East Ave
Park Ridge, IL  60068",,
"Report-4798: Oct. 31 507 Asbury Avenue, Oakton and Asbury","507 Asbury Avenue, Oakton and Asbury",,
"Report-234: Oct. 31 N Drake Ave & W Leland Ave
","N Drake Ave & W Leland Ave
",,
"Report-235: Oct. 31  2500 walnut ave Evanston , IL 60201 "," 2500 walnut ave Evanston , IL 60201 ",,
"Report-236: Oct. 31 8201 Karlov Ave, Skokie, IL 60076","8201 Karlov Ave, Skokie, IL 60076",,
"Report-4445: Oct. 31 N William St
Mount Prospect, IL  60056","N William St
Mount Prospect, IL  60056",,
"Report-4535: Oct. 31 N Kimball Ave & W Waveland Ave
Chicago, IL  60618","N Kimball Ave & W Waveland Ave
Chicago, IL  60618",,
Report-4594: Oct. 31 ,,,
"Report-237: Oct. 31 N Pulaski Rd & W Montrose Ave
","N Pulaski Rd & W Montrose Ave
",,
"Report-238: Oct. 31 Keating Ave & Oakton St
","Keating Ave & Oakton St
",,
Report-239: Oct. 31 N Pulaski Rd & W Montrose Ave,N Pulaski Rd & W Montrose Ave,,
"Report-240: Oct. 31 Park Ave and 7st Street willmate, IL 60091 ","Park Ave and 7st Street willmate, IL 60091 ",,
"Report-241: Oct. 31 7414 N Wolcott Ave, Chicago, IL 60626","7414 N Wolcott Ave, Chicago, IL 60626",,
Report-242: Oct. 31 Bennett Ave & Park Pl,Bennett Ave & Park Pl,,
Report-243: Oct. 31 Cleveland St & Kilpatrick Ave,Cleveland St & Kilpatrick Ave,,
"Report-244: Oct. 31 10 S Maple St, Mount Prospect, IL","10 S Maple St, Mount Prospect, IL",,
"Report-245: Oct. 31 Dodge Ave & Oakton St
","Dodge Ave & Oakton St
",,
"Report-246: Oct. 31 N Avers Ave & W Lawrence Ave, Chicago.","N Avers Ave & W Lawrence Ave, Chicago.",,
Report-247: Oct. 31 Bennett Ave & Lincoln St,Bennett Ave & Lincoln St,,
"Report-248: Oct. 31 Main St & N Kildare Ave
","Main St & N Kildare Ave
",,
"Report-249: Oct. 31 Central Park Ave & Golf Rd
","Central Park Ave & Golf Rd
",,
"Report-250: Oct. 31 5th st and Linden ave, Wilmette","5th st and Linden ave, Wilmette",,
"Report-251: Oct. 31 Albert and Northwest Highway, Mount Prospect, IL","Albert and Northwest Highway, Mount Prospect, IL",,
"Report-252: Oct. 31 200 block of Lewis and Evergreen, Mount Prospect, IL","200 block of Lewis and Evergreen, Mount Prospect, IL",,
"Report-253: Oct. 31 4th and Summit, Villa Park, IL 60181","4th and Summit, Villa Park, IL 60181",,
"Report-254: Oct. 31  Lewis and Evergreen, Mt. Prospect, IL, 60056"," Lewis and Evergreen, Mt. Prospect, IL, 60056",,
"Report-255: Oct. 31 Main St & N Crawford Ave
","Main St & N Crawford Ave
",,
"Report-256: Oct. 31 12 S Maple St, Mount Prospect, IL 60056","12 S Maple St, Mount Prospect, IL 60056",,
"Report-257: Oct. 31 E Prairie Rd & Brummel St
","E Prairie Rd & Brummel St
",,
Report-258: Oct. 31 Linden ave and 7th st. Wilmette.,Linden ave and 7th st. Wilmette.,,
Report-259: Oct. 31 ICE at the Home Depot on 2201 Oakton in Evanston Il 60202,ICE at the Home Depot on 2201 Oakton in Evanston Il 60202,,
"Report-260: Oct. 31 Greenwood St & Dodge Ave
","Greenwood St & Dodge Ave
",,
"Report-261: Oct. 31 Bennett Ave & Lincoln St
","Bennett Ave & Lincoln St
",,
"Report-262: Oct. 31  Oakton & Sherman, Skokie, IL 60077"," Oakton & Sherman, Skokie, IL 60077",,
"Report-263: Oct. 31 300 E Northwest Hwy, Des Plaines, IL 60016, USA","300 E Northwest Hwy, Des Plaines, IL 60016, USA",,
Report-264: Oct. 31 Noyes Street Evanston,Noyes Street Evanston,,
"Report-265: Oct. 31 Main St & Chicago Ave
","Main St & Chicago Ave
",,
"Report-266: Oct. 31 McDaniel Ave & Lincoln St
","McDaniel Ave & Lincoln St
",,
"Report-267: Oct. 31 Kenton Ave & Church St
","Kenton Ave & Church St
",,
Report-268: Oct. 31 N Winchester Ave & W Birchwood Ave,N Winchester Ave & W Birchwood Ave,,
"Report-269: Oct. 31 500 Wall St, Glendale Heights, IL 60139, United States","500 Wall St, Glendale Heights, IL 60139, United States",,
Report-270: Oct. 31 Roosevelt and Damen,Roosevelt and Damen,,
"Report-271: Oct. 31 Crain St & Wesley Ave, Evanston, IL ","Crain St & Wesley Ave, Evanston, IL ",,
"Report-272: Oct. 31 300 E Northwest Hwy, Des Plaines, IL 60016","300 E Northwest Hwy, Des Plaines, IL 60016",,
"Report-273: Oct. 31 1600 Dodge Ave, Evanston, IL 60201, United States","1600 Dodge Ave, Evanston, IL 60201, United States",,
"Report-274: Oct. 31 Fowler Ave & Lake St
","Fowler Ave & Lake St
",,
"Report-275: Oct. 31 N Paulina St & W Foster Ave
","N Paulina St & W Foster Ave
",,
"Report-276: Oct. 31 9626 S Pulaski Rd, Oak Lawn, IL 60453, USA","9626 S Pulaski Rd, Oak Lawn, IL 60453, USA",,
"Report-277: Oct. 31 3436 W Wilson Ave, Chicago, IL 60625, USA","3436 W Wilson Ave, Chicago, IL 60625, USA",,
"Report-278: Oct. 31 Golf and Busse, Mount Prospect, IL","Golf and Busse, Mount Prospect, IL",,
"Report-279: Oct. 31 Lawrence & Western, Lincoln Square, Chicago","Lawrence & Western, Lincoln Square, Chicago",,
"Report-280: Oct. 31 Golf Rd & Busse Rd
","Golf Rd & Busse Rd
",,
"Report-281: Oct. 31 Greenleaf St and Dodge Ave Evanston, IL 60202","Greenleaf St and Dodge Ave Evanston, IL 60202",,
"Report-282: Oct. 31 N Kedzie Ave & W Berteau Ave
","N Kedzie Ave & W Berteau Ave
",,
"Report-283: Oct. 31 736 Reba Pl, Evanston, IL 60202, USA","736 Reba Pl, Evanston, IL 60202, USA",,
"Report-284: Oct. 31 E Prairie Ave & 1st Ave
","E Prairie Ave & 1st Ave
",,
"Report-285: Oct. 31 Austin Ave & Oakton St
","Austin Ave & Oakton St
",,
"Report-286: Oct. 31 Dodge Ave & Oakton St
","Dodge Ave & Oakton St
",,
"Report-287: Oct. 31 Oakton St & Elmwood Ave
","Oakton St & Elmwood Ave
",,
Report-288: Oct. 31 Callan Ave & Mulford St ,Callan Ave & Mulford St ,,
"Report-289: Oct. 31 600 Mulford St, Evanston, IL 60202, USA","600 Mulford St, Evanston, IL 60202, USA",,
"Report-290: Oct. 31 W Montrose Ave & N Spaulding Ave
","W Montrose Ave & N Spaulding Ave
",,
"Report-291: Oct. 31 W Foster Ave & N Western Ave
","W Foster Ave & N Western Ave
",,
"Report-292: Oct. 31 Crain Street, 60202","Crain Street, 60202",,
"Report-293: Oct. 31 N Hamlin Ave & W Wilson Ave
","N Hamlin Ave & W Wilson Ave
",,
Report-294: Oct. 31 West Ainslie Street and North Avers Avenue,West Ainslie Street and North Avers Avenue,,
"Report-295: Oct. 31 654 Arlington Ave, Des Plaines, IL","654 Arlington Ave, Des Plaines, IL",,
"Report-296: Oct. 31 590 Arlington Ave, Des Plaines, IL","590 Arlington Ave, Des Plaines, IL",,
"Report-297: Oct. 31  10350 Argonne Dr Woodridge, Il 60517"," 10350 Argonne Dr Woodridge, Il 60517",,
"Report-298: Oct. 31 3311 W Pensacola Ave, Chicago, IL 60618, USA","3311 W Pensacola Ave, Chicago, IL 60618, USA",,
Report-299: Oct. 31 N Elston Ave & Irving Park Rd,N Elston Ave & Irving Park Rd,,
Report-300: Oct. 31 Ballard Rd,Ballard Rd,,
"Report-301: Oct. 31 Asbury Ave & Dobson St
","Asbury Ave & Dobson St
",,
"Report-302: Oct. 31 Kedzie and Addison, Chicago 60618","Kedzie and Addison, Chicago 60618",,
"Report-303: Oct. 31 N Kimball Ave & W Waveland Ave
","N Kimball Ave & W Waveland Ave
",,
"Report-304: Oct. 31 3224 W Lawrence Ave, Chicago, 60625 ","3224 W Lawrence Ave, Chicago, 60625 ",,
"Report-305: Oct. 31 N California Ave & W Foster Ave
","N California Ave & W Foster Ave
",,
"Report-306: Oct. 31 3739 W Argyle St, Chicago, IL 60625, USA","3739 W Argyle St, Chicago, IL 60625, USA",,
Report-307: Oct. 31 Oakton and Linden in Des Plaines 60018,Oakton and Linden in Des Plaines 60018,,
"Report-308: Oct. 31 N Leavitt St & W Huron St
","N Leavitt St & W Huron St
",,
"Report-309: Oct. 31 N Avers Ave & W Ainslie St
","N Avers Ave & W Ainslie St
",,
"Report-310: Oct. 31 601 Dundee Ave, East Dundee, IL 60118, United States","601 Dundee Ave, East Dundee, IL 60118, United States",,
Report-311: Oct. 31 8 Elm Court Apartments,8 Elm Court Apartments,,
Report-312: Oct. 31 Oakton and Sherman,Oakton and Sherman,,
"Report-1: Oct. 31 Lemont Rd & 75th St
","Lemont Rd & 75th St
",,
"Report-313: Oct. 31 Weber Dr & W Algonquin Rd
Rolling Meadows, IL  60005","Weber Dr & W Algonquin Rd
Rolling Meadows, IL  60005",,
"Report-314: Oct. 31 2212 W Algonquin Rd, Rolling Meadows, IL 60008, United States","2212 W Algonquin Rd, Rolling Meadows, IL 60008, United States",,
"Report-315: Oct. 31 South Blvd & Sheridan Rd
","South Blvd & Sheridan Rd
",,
"Report-316: Oct. 31 1810 S Blue Island Ave, Chicago, IL 60608, United States","1810 S Blue Island Ave, Chicago, IL 60608, United States",,
"Report-317: Oct. 31 Chicago Ave & N 15th Ave
","Chicago Ave & N 15th Ave
",,
Report-318: Oct. 31 North Ave and 294,North Ave and 294,,
Report-319: Oct. 31 Skokie Blvd & Church St,Skokie Blvd & Church St,,
"Report-320: Oct. 31 W Peterson Ave & N California Ave
","W Peterson Ave & N California Ave
",,
Report-321: Oct. 31 Sherman Ave & South Blvd,Sherman Ave & South Blvd,,
"Report-322: Oct. 31 W Garfield Blvd & S Aberdeen St
","W Garfield Blvd & S Aberdeen St
",,
"Report-323: Oct. 31 1951 S Canalport Ave, Chicago, IL 60616","1951 S Canalport Ave, Chicago, IL 60616",,
Report-324: Oct. 30 831 W Dundee Rd,831 W Dundee Rd,,
Report-325: Oct. 30 Central park and addison,Central park and addison,,
Report-326: Oct. 30 Oak Park Ave & Armitage Ave,Oak Park Ave & Armitage Ave,,
"Report-327: Oct. 30 Main St & N McCormick Blvd, Skokie, IL 60076","Main St & N McCormick Blvd, Skokie, IL 60076",,
"Report-328: Oct. 30 141 S Villa Ave, Addison, IL 60101","141 S Villa Ave, Addison, IL 60101",,
"Report-329: Oct. 30 6600 Woodward Ave, Downers Grove, IL 60516","6600 Woodward Ave, Downers Grove, IL 60516",,
"Report-330: Oct. 30 O'Hare Rideshare Lot, 10000 W O'Hare Ave, Chicago, IL 60666","O'Hare Rideshare Lot, 10000 W O'Hare Ave, Chicago, IL 60666",,
"Report-4588: Oct. 30 2700 Lake Cook Rd, Long Grove, IL ","2700 Lake Cook Rd, Long Grove, IL ",,
"Report-331: Oct. 30 7500 S Racine Ave, Chicago, IL 60620","7500 S Racine Ave, Chicago, IL 60620",,
"Report-332: Oct. 30 N Pulaski Rd & W Diversey Ave, Chicago, IL 60641","N Pulaski Rd & W Diversey Ave, Chicago, IL 60641",,
"Report-333: Oct. 30 188 N State St, Chicago, IL 60601","188 N State St, Chicago, IL 60601",,
"Report-334: Oct. 30 W Montrose Ave & N Milwaukee Ave, Chicago, IL 60630","W Montrose Ave & N Milwaukee Ave, Chicago, IL 60630",,
"Report-335: Oct. 30 1424 N Cleaver St, Chicago, IL 60642","1424 N Cleaver St, Chicago, IL 60642",,
"Report-336: Oct. 30 5251 Sherwin Avenue, Skokie, IL, 60077","5251 Sherwin Avenue, Skokie, IL, 60077",,
"Report-337: Oct. 30 Schoenbeck Rd, Wheeling, IL 60090","Schoenbeck Rd, Wheeling, IL 60090",,
"Report-338: Oct. 30 Departure Terminal, O'Hare Airport, 10000 W O'Hare Ave, Chicago, IL 60666","Departure Terminal, O'Hare Airport, 10000 W O'Hare Ave, Chicago, IL 60666",,
"Report-339: Oct. 30 550 W Dundee Rd, Wheeling 60090","550 W Dundee Rd, Wheeling 60090",,
Report-340: Oct. 30 Hinsdale & Burr Ridge Area,Hinsdale & Burr Ridge Area,,
"Report-341: Oct. 30 405 Walden Lane, Prospect Heights, IL 60070","405 Walden Lane, Prospect Heights, IL 60070",,
"Report-342: Oct. 30 4235 N Walnut Ave, Arlington Heights, IL 60004","4235 N Walnut Ave, Arlington Heights, IL 60004",,
"Report-4694: Oct. 30 255 Augusta St, Oak Park, IL 60302","255 Augusta St, Oak Park, IL 60302",,
"Report-343: Oct. 30 N Cuyler Ave., Oak Park, IL 60302","N Cuyler Ave., Oak Park, IL 60302",,
"Report-344: Oct. 30 W 35th St & S Hoyne Ave & S Archer Ave, Chicago, IL 60609","W 35th St & S Hoyne Ave & S Archer Ave, Chicago, IL 60609",,
"Report-345: Oct. 30 Parking lot, 7215 W Dempster St, Niles, IL 60714, USA","Parking lot, 7215 W Dempster St, Niles, IL 60714, USA",,
"Report-346: Oct. 30 Augusta St. & Bonnie Brae, River Forest, IL 60305","Augusta St. & Bonnie Brae, River Forest, IL 60305",,
Report-347: Oct. 30 150 e dundee rd,150 e dundee rd,,
Report-348: Oct. 30 1260 N Dearborn,1260 N Dearborn,,
Report-4693: Oct. 30 Midway & Mayfair,Midway & Mayfair,,
"Report-4696: Oct. 30 2700 Lake Cook Rd, Long Grove, IL 60047","2700 Lake Cook Rd, Long Grove, IL 60047",,
Report-349: Oct. 30 2104 n nortica,2104 n nortica,,
Report-350: Oct. 30 newland and altgeld,newland and altgeld,,
"Report-4585: Oct. 30 403 Inland Dr, Wheeling, IL ","403 Inland Dr, Wheeling, IL ",,
Report-351: Oct. 30 4100 N Long Ave,4100 N Long Ave,,
Report-352: Oct. 30 7941 W 171 St,7941 W 171 St,,
Report-353: Oct. 30 64 W North Ave,64 W North Ave,,
Report-354: Oct. 30 Logan blvd ad kedzie,Logan blvd ad kedzie,,
Report-355: Oct. 30 ,,,
Report-356: Oct. 30 800 IL-83,800 IL-83,,
"Report-357: Oct. 30 355 Schoenbeck Rd, Wheeling, IL 60090","355 Schoenbeck Rd, Wheeling, IL 60090",,
"Report-4692: Oct. 30 142 N Humphrey Ave, Oak Park, IL 60302","142 N Humphrey Ave, Oak Park, IL 60302",,
Report-358: Oct. 30 3340 n Pulaski ,3340 n Pulaski ,,
"Report-4586: Oct. 30 550 W Dundee Rd, Wheeling, IL ","550 W Dundee Rd, Wheeling, IL ",,
Report-359: Oct. 30 8188 Columbian Ave,8188 Columbian Ave,,
Report-360: Oct. 30 5337 W Devon Ave,5337 W Devon Ave,,
"Report-4691: Oct. 30 846 Columbian Ave, Oak Park, IL 60302","846 Columbian Ave, Oak Park, IL 60302",,
"Report-4695: Oct. 30 ""400 block of Scoville"" -- unclear if N Scoville Ave. or S Scoville Ave., Oak Park, IL 60302","""400 block of Scoville"" -- unclear if N Scoville Ave. or S Scoville Ave., Oak Park, IL 60302",,
