ID,Address,City,State,oneline,zipcode,lat,lon
55,4414 S Evans,Chicago,IL,"4414 S Evans, Chicago, IL",60653,41.814662723039,-87.608387118242
56,4316 S Princeton Ave,Chicago,IL,"4316 S Princeton Ave, Chicago, IL",60609,41.815983059324,-87.633635458064
57,1801 S Indiana Ave,Chicago,IL,"1801 S Indiana Ave, Chicago, IL",60616,41.857846737203,-87.622165658859
58,3245 S Prairie Ave,Chicago,IL,"3245 S Prairie Ave, Chicago, IL",60616,41.835726625843,-87.620569355788
59,346 E 53rd St,Chicago,IL,"346 E 53rd St, Chicago, IL",60615,41.798499228689,-87.617276335603
60,1212 S Plymouth Ct,Chicago,IL,"1212 S Plymouth Ct, Chicago, IL",60605,41.866985311753,-87.628582525585
61,1440 S Indiana Ave,Chicago,IL,"1440 S Indiana Ave, Chicago, IL",60605,41.863572331586,-87.622631580846
62,4415 S ML King Dr,Chicago,IL,"4415 S ML King Dr, Chicago, IL",60653,41.815276947276,-87.616413904503
63,4747 S King Dr,Chicago,IL,"4747 S King Dr, Chicago, IL",60615,41.808533312563,-87.61622617653
64,1212 S Plymouth Ct,Chicago,IL,"1212 S Plymouth Ct, Chicago, IL",60605,41.866985311753,-87.628582525585
65,1500 S Michigan Ave,Chicago,IL,"1500 S Michigan Ave, Chicago, IL",60605,41.861659841847,-87.62409835591
66,4101 S Calumet Ave,Chicago,IL,"4101 S Calumet Ave, Chicago, IL",60653,41.820155482945,-87.618375759433
67,1440 S Indiana Ave,Chicago,IL,"1440 S Indiana Ave, Chicago, IL",60605,41.863572331586,-87.622631580846
68,3630 S Wells St,Chicago,IL,"3630 S Wells St, Chicago, IL",60609,41.828473545965,-87.632729241585
69,2731 S Dearborn St,Chicago,IL,"2731 S Dearborn St, Chicago, IL",60616,41.844090636021,-87.628366483008
70,2347 S Wabash Ave,Chicago,IL,"2347 S Wabash Ave, Chicago, IL",60616,41.849827622418,-87.625351820282
71,340 E 38th St,Chicago,IL,"340 E 38th St, Chicago, IL",60653,41.825697045621,-87.617790572324
72,1500 S Michigan Ave,Chicago,IL,"1500 S Michigan Ave, Chicago, IL",60605,41.861659841847,-87.62409835591
73,2347 S Wabash Ave,Chicago,IL,"2347 S Wabash Ave, Chicago, IL",60616,41.849827622418,-87.625351820282
74,3647 S State St,Chicago,IL,"3647 S State St, Chicago, IL",60609,41.828367155913,-87.626421875793
75,25 W 47th St,Chicago,IL,"25 W 47th St, Chicago, IL",60609,41.809154610588,-87.627458122043
76,1104 S Wabash Ave,Chicago,IL,"1104 S Wabash Ave, Chicago, IL",60605,41.869132464052,-87.625946929351
77,8 W Root St,Chicago,IL,"8 W Root St, Chicago, IL",60609,41.819251451999,-87.626543309486
78,1801 S Indiana Ave,Chicago,IL,"1801 S Indiana Ave, Chicago, IL",60616,41.857846737203,-87.622165658859
79,5015 S Blackstone Ave,Chicago,IL,"5015 S Blackstone Ave, Chicago, IL",60615,41.803954578902,-87.590457086671
80,1330 E 50th St,Chicago,IL,"1330 E 50th St, Chicago, IL",60615,41.804263293383,-87.594315493747
81,1330 E 50th St,Chicago,IL,"1330 E 50th St, Chicago, IL",60615,41.804263293383,-87.594315493747
82,4930 S Langley,Chicago,IL,"4930 S Langley, Chicago, IL",60615,41.805282581868,-87.608972845884
83,4949 S Cottge Grv,Chicago,IL,"4949 S Cottge Grv, Chicago, IL",60615,41.805005806451,-87.606392515685
84,1119 E 46th St,Chicago,IL,"1119 E 46th St, Chicago, IL",60653,41.811386178342,-87.59848631261
85,1330 E 50th St,Chicago,IL,"1330 E 50th St, Chicago, IL",60615,41.804263293383,-87.594315493747
86,4850 S Lake Park Ave,Chicago,IL,"4850 S Lake Park Ave, Chicago, IL",60615,41.807138877003,-87.590078273917
87,4445 S Drexel Bv,Chicago,IL,"4445 S Drexel Bv, Chicago, IL",60653,41.814205947983,-87.603919036438
88,1119 E 46th St,Chicago,IL,"1119 E 46th St, Chicago, IL",60653,41.811386178342,-87.59848631261
89,4434 S Lake Park Ave,Chicago,IL,"4434 S Lake Park Ave, Chicago, IL",60653,41.814067186952,-87.596884359674
90,4445 S Drexel Bv,Chicago,IL,"4445 S Drexel Bv, Chicago, IL",60653,41.814205947983,-87.603919036438
91,740 E 43rd St,Chicago,IL,"740 E 43rd St, Chicago, IL",60653,41.816860790132,-87.607482518657
92,4227 S Oakenwald Ave,Chicago,IL,"4227 S Oakenwald Ave, Chicago, IL",60653,41.817730977791,-87.598020829515
93,700 E Oakwood,Chicago,IL,"700 E Oakwood, Chicago, IL",60653,41.822770450461,-87.609724376462
94,3983 S Lake Park Ave,Chicago,IL,"3983 S Lake Park Ave, Chicago, IL",60653,41.82300629266,-87.602562904062
95,3858 S Cottage Grove Ave,Chicago,IL,"3858 S Cottage Grove Ave, Chicago, IL",60653,41.824704088299,-87.607370465266
96,3550 S Rhodes Ave,Chicago,IL,"3550 S Rhodes Ave, Chicago, IL",60653,41.830064460471,-87.614539487182
97,3200 S Calumet,Chicago,IL,"3200 S Calumet, Chicago, IL",60616,41.836523825634,-87.618305249586
98,3436 S M L King Dr,Chicago,IL,"3436 S M L King Dr, Chicago, IL",60616,41.832645729928,-87.617419248409007
99,601 E 32nd St,Chicago,IL,"601 E 32nd St, Chicago, IL",60616,41.836542857103,-87.616991856274
100,2921 S Michigan Ave,Chicago,IL,"2921 S Michigan Ave, Chicago, IL",60616,41.841124257575,-87.623197677783
101,2901 S M L King Dr,Chicago,IL,"2901 S M L King Dr, Chicago, IL",60616,41.84201595145,-87.617125406498
102,2631 S Indiana Ave,Chicago,IL,"2631 S Indiana Ave, Chicago, IL",NA,NA,NA
103,1104 S Wabash Ave,Chicago,IL,"1104 S Wabash Ave, Chicago, IL",60605,41.869132464052,-87.625946929351
104,700 S State St,Chicago,IL,"700 S State St, Chicago, IL",60605,41.873027348521,-87.627723124261
105,700 S State St,Chicago,IL,"700 S State St, Chicago, IL",60605,41.873027348521,-87.627723124261
106,637 S Dearborn St,Chicago,IL,"637 S Dearborn St, Chicago, IL",60605,41.8740949492,-87.629117421653
107,1833 E 71st St,Chicago,IL,"1833 E 71st St, Chicago, IL",60649,41.765978932132,-87.579907063536
108,6940 S Merrill Ave,Chicago,IL,"6940 S Merrill Ave, Chicago, IL",60649,41.769084370531,-87.57278681938
109,2226 E 71st St,Chicago,IL,"2226 E 71st St, Chicago, IL",60649,41.766308382002,-87.570931312865
110,6940 S Merrill Ave,Chicago,IL,"6940 S Merrill Ave, Chicago, IL",60649,41.769084370531,-87.57278681938
111,6940 S Merrill Ave,Chicago,IL,"6940 S Merrill Ave, Chicago, IL",60649,41.769084370531,-87.57278681938
112,1818 E 71st St,Chicago,IL,"1818 E 71st St, Chicago, IL",60649,41.766241458526,-87.579911958614
113,6938 S East End Ave,Chicago,IL,"6938 S East End Ave, Chicago, IL",60649,41.769016821769,-87.582932420193
114,6720 S Cornell Ave,Chicago,IL,"6720 S Cornell Ave, Chicago, IL",60649,41.772545167948,-87.585133879933
115,6938 S East End Ave,Chicago,IL,"6938 S East End Ave, Chicago, IL",60649,41.769016821769,-87.582932420193
116,1415 E 70th St,Chicago,IL,"1415 E 70th St, Chicago, IL",60637,41.767773867473,-87.590897154348
117,1010 E 72nd St,Chicago,IL,"1010 E 72nd St, Chicago, IL",60619,41.76416692836,-87.600534031079
118,5550 S Shore Dr,Chicago,IL,"5550 S Shore Dr, Chicago, IL",60637,41.793731649167,-87.580495855627
119,6401 S Stony Island Ave,Chicago,IL,"6401 S Stony Island Ave, Chicago, IL",60637,41.779685513494,-87.586368441477
120,6250 S Harper Ave,Chicago,IL,"6250 S Harper Ave, Chicago, IL",60637,41.781721863123,-87.58793658364
121,1355 E 53rd St,Chicago,IL,"1355 E 53rd St, Chicago, IL",60615,41.799444862122,-87.59261351895
122,1355 E 53rd St,Chicago,IL,"1355 E 53rd St, Chicago, IL",60615,41.799444862122,-87.59261351895
123,5200 S Hyde Park Bv,Chicago,IL,"5200 S Hyde Park Bv, Chicago, IL",60615,41.800951574747,-87.584625544754
